id,fecha,pronostico,temperatura_maxima,temperatura_minima,probabilidad_lluvia,viento_dia,direccion_viento_dia,viento_noche,direccion_viento_noche,humedad_dia_porcentaje,humedad_noche_porcentaje,indice_UV_dia,indice_UV_noche,amanecer,puesta_solar,salida_lunar,puesta_lunar,fase_lunar
156,jue 17,Mayormente soleado,39,26,4,12,SSE ,14,ESE ,23,26,Extremo,0 de 11,06:31:00,19:47:00,07:33:00,20:49:00,Nueva visible
157,vie 18,Mayormente soleado,39,25,12,15,SE ,17,ESE ,23,27,Extremo,0 de 11,06:32:00,19:46:00,08:27:00,21:14:00,Nueva visible
158,sab 19,Mayormente soleado,38,25,8,15,SSE ,18,ESE ,26,32,Extremo,0 de 11,06:33:00,19:45:00,09:22:00,21:39:00,Nueva visible
159,dom 20,Mayormente soleado,38,25,7,19,SE ,22,ESE ,29,33,Extremo,0 de 11,06:33:00,19:44:00,10:16:00,22:05:00,Nueva visible
160,lun 21,Mayormente soleado,37,25,5,20,SE ,22,ESE ,28,34,10 de 11,0 de 11,06:34:00,19:43:00,11:12:00,22:32:00,Nueva visible
161,mar 22,Mayormente soleado,37,24,4,20,ESE ,23,ESE ,30,35,10 de 11,0 de 11,06:34:00,19:41:00,12:11:00,23:03:00,Nueva visible
162,mie 23,Mayormente soleado,37,24,2,19,ESE ,21,E ,30,34,10 de 11,0 de 11,06:35:00,19:40:00,13:13:00,23:39:00,Cuarto creciente
163,jue 24,Parcialmente nublado,37,24,5,17,ESE ,19,E ,29,32,10 de 11,0 de 11,06:36:00,19:39:00,14:17:00,,Gibosa creciente
164,vie 25,Parcialmente nublado,37,24,23,15,ESE ,19,E ,29,35,10 de 11,0 de 11,06:36:00,19:38:00,15:24:00,00:23:00,Gibosa creciente
165,sab 26,Parcialmente nublado,37,24,10,17,SE ,20,ESE ,29,34,10 de 11,0 de 11,06:37:00,19:37:00,16:28:00,01:16:00,Gibosa creciente
166,dom 13,Parcialmente nublado,36,24,15,19,O ,16,ONO ,30,37,Extremo,0 de 11,06:29:00,19:51:00,03:45:00,18:38:00,Cuarto menguante
167,lun 14,Parcialmente nublado,36,24,24,29,E ,28,E ,37,37,Extremo,0 de 11,06:29:00,19:50:00,04:42:00,19:18:00,Cuarto menguante
168,mar 15,Soleado,37,25,0,21,ESE ,21,ESE ,30,33,Extremo,0 de 11,06:30:00,19:49:00,05:40:00,19:52:00,Nueva
169,mie 16,Soleado,37,25,0,11,SE ,12,SE ,29,26,Extremo,0 de 11,06:31:00,19:48:00,06:37:00,20:22:00,Nueva
170,jue 17,Mayormente soleado,38,25,3,12,SSE ,14,E ,23,29,Extremo,0 de 11,06:31:00,19:47:00,07:33:00,20:49:00,Nueva visible
171,vie 18,Mayormente soleado,38,25,13,16,SE ,17,SE ,24,26,Extremo,0 de 11,06:32:00,19:46:00,08:27:00,21:14:00,Nueva visible
172,sab 19,Mayormente soleado,38,25,6,17,SE ,22,ESE ,25,31,Extremo,0 de 11,06:33:00,19:45:00,09:22:00,21:39:00,Nueva visible
173,dom 20,Parcialmente nublado,36,24,17,21,SE ,23,ESE ,31,36,Extremo,0 de 11,06:33:00,19:44:00,10:16:00,22:05:00,Nueva visible
174,lun 21,Mayormente soleado,36,24,14,21,SE ,22,ESE ,31,39,10 de 11,0 de 11,06:34:00,19:43:00,11:12:00,22:32:00,Nueva visible
175,mar 22,Mayormente soleado,36,24,3,20,ESE ,21,E ,31,38,10 de 11,0 de 11,06:34:00,19:41:00,12:11:00,23:03:00,Nueva visible
176,mie 23,Parcialmente nublado,36,24,4,19,ESE ,21,E ,32,36,10 de 11,0 de 11,06:35:00,19:40:00,13:13:00,23:39:00,Cuarto creciente
177,jue 24,Parcialmente nublado,37,24,7,17,ESE ,19,ESE ,31,33,10 de 11,0 de 11,06:36:00,19:39:00,14:17:00,,Gibosa creciente
178,vie 25,Mayormente soleado,37,24,6,15,ESE ,18,ESE ,28,32,10 de 11,0 de 11,06:36:00,19:38:00,15:24:00,00:23:00,Gibosa creciente
179,sab 26,Mayormente soleado,37,24,7,16,SE ,17,ESE ,28,31,10 de 11,0 de 11,06:37:00,19:37:00,16:28:00,01:16:00,Gibosa creciente
180,dom 27,Mayormente soleado,38,25,7,14,SE ,17,ESE ,27,31,10 de 11,0 de 11,06:38:00,19:36:00,17:29:00,02:19:00,Gibosa creciente
